wavelength,efficiency
0.931,2.1919007e-09
0.9311351,1.828837e-09
0.9312703,9.193326e-10
0.93140537,4.9972215e-10
0.93154055,1.0753421e-09
0.9316757,2.0084372e-09
0.9318108,2.2578963e-09
0.931946,1.5448447e-09
0.93208104,6.7862893e-10
0.9322162,6.4213224e-10
0.93235135,1.510984e-09
0.93248653,2.3226125e-09
0.9326216,2.1803062e-09
0.9327567,1.240142e-09
0.9328919,5.73561e-10
0.933027,9.376694e-10
0.9331622,1.9501383e-09
0.9332973,2.5054918e-09
0.9334324,1.9862256e-09
0.9335676,9.75557e-10
0.9337027,6.052069e-10
0.9338379,1.3208314e-09
0.93397295,2.3324769e-09
0.93410814,2.5571536e-09
0.93424326,1.7391192e-09
0.9343784,7.860377e-10
0.9345135,7.6500156e-10
0.93464863,1.7408525e-09
0.9347838,2.651064e-09
0.93491894,2.5122884e-09
0.93505406,1.4845346e-09
0.9351892,6.971346e-10
0.9353243,1.0402987e-09
0.9354595,2.1587947e-09
0.9355946,2.8650171e-09
0.93572974,2.394077e-09
0.93586487,1.2504155e-09
0.936,7.1068945e-10
0.9361352,1.3722261e-09
0.9362703,2.5580134e-09
0.9364054,2.9923006e-09
0.93654054,2.2269866e-09
0.93667567,1.0760779e-09
0.93681085,8.1627777e-10
0.936946,1.7475716e-09
0.9370811,2.8998732e-09
0.9372162,3.0431866e-09
0.93735135,2.0405087e-09
0.9374865,9.583371e-10
0.93762165,9.982551e-10
0.9377568,2.136126e-09
0.9378919,3.1967573e-09
0.938027,3.0550766e-09
0.9381622,1.874149e-09
0.9382973,9.177319e-10
0.9384324,1.2327117e-09
0.9385675,2.5080644e-09
0.9387027,3.4459948e-09
0.9388378,3.031725e-09
0.9389729,1.7336702e-09
0.9391081,9.2767505e-10
0.9392432,1.5069226e-09
0.9393784,2.8939635e-09
0.9395135,3.6555958e-09
0.9396486,3.001216e-09
0.93978375,1.6305668e-09
0.9399189,9.905171e-10
0.94005406,1.8025643e-09
0.9401892,3.24469e-09
0.9403243,3.841108e-09
0.94045943,2.970912e-09
0.94059455,1.5593902e-09
0.94072974,1.0903575e-09
0.9408648,2.0982105e-09
0.941,3.5686798e-09
0.9411351,4.011901e-09
0.94127023,2.9686997e-09
0.9414054,1.5359809e-09
0.9415405,1.2155629e-09
0.94167566,2.3993594e-09
0.9418108,3.886288e-09
0.9419459,4.188378e-09
0.9420811,3.0126117e-09
0.94221616,1.5509956e-09
0.94235134,1.3568374e-09
0.94248646,2.6683031e-09
0.94262165,4.1951265e-09
0.9427567,4.383602e-09
0.94289184,3.055587e-09
0.943027,1.5994955e-09
0.94316214,1.5094043e-09
0.9432973,2.9507554e-09
0.9434324,4.489904e-09
0.9435675,4.6137534e-09
0.9437027,3.1854313e-09
0.9438378,1.6791288e-09
0.943973,1.6534898e-09
0.94410807,3.1792897e-09
0.94424325,4.788694e-09
0.9443784,4.85916e-09
0.9445135,3.3414642e-09
0.9446486,1.7908919e-09
0.94478375,1.7885421e-09
0.94491893,3.4059304e-09
0.94505405,5.0860502e-09
0.94518924,5.168559e-09
0.9453243,3.5889751e-09
0.9454594,1.9629263e-09
0.9455946,1.9271016e-09
0.94572973,3.605615e-09
0.9458649,5.3745315e-09
0.946,5.514465e-09
0.9461351,3.9046806e-09
0.9462703,2.1552624e-09
0.9464054,2.0462174e-09
0.94654053,3.765419e-09
0.94667566,5.671304e-09
0.94681084,5.9245564e-09
0.94694597,4.2978323e-09
0.9470811,2.4126552e-09
0.9472162,2.1703215e-09
0.94735134,3.8846624e-09
0.9474865,5.94365e-09
0.94762164,6.382934e-09
0.94775677,4.7830886e-09
0.9478919,2.743253e-09
0.948027,2.2945064e-09
0.9481622,3.942525e-09
0.9482973,6.192984e-09
0.94843245,6.8774555e-09
0.94856757,5.389555e-09
0.9487027,3.1798082e-09
0.9488379,2.4342277e-09
0.948973,3.989395e-09
0.9491081,6.3998473e-09
0.94924325,7.407305e-09
0.9493784,6.0785297e-09
0.94951355,3.7225178e-09
0.9496487,2.635571e-09
0.9497838,3.974394e-09
0.9499189,6.53412e-09
0.95005405,7.956897e-09
0.9501892,6.914858e-09
0.9503243,4.4149213e-09
0.95045936,2.920324e-09
0.95059454,3.9337644e-09
0.9507297,6.611575e-09
0.95086485,8.470268e-09
0.9509999,7.834354e-09
0.9511351,5.297188e-09
0.9512702,3.3437462e-09
0.9514054,3.903935e-09
0.9515405,6.560717e-09
0.9516756,8.919289e-09
0.9518108,8.837674e-09
0.9519459,6.425435e-09
0.9520811,3.973218e-09
0.9522162,3.9226e-09
0.95235133,6.40968e-09
0.95248646,9.261296e-09
0.9526216,9.853246e-09
0.95275676,7.700639e-09
0.9528918,4.872445e-09
0.953027,4.0665173e-09
0.95316213,6.229601e-09
0.95329726,9.426292e-09
0.95343244,1.0853892e-08
0.9535675,9.2140615e-09
0.9537027,6.0957577e-09
0.9538378,4.4564636e-09
0.95397294,5.9754957e-09
0.9541081,9.4039185e-09
0.9542432,1.171914e-08
0.95437837,1.0886973e-08
0.9545135,7.674875e-09
0.9546486,5.19449e-09
0.95478374,5.8334093e-09
0.95491886,9.149028e-09
0.95505404,1.2358045e-08
0.95518917,1.2567316e-08
0.9553243,9.691584e-09
0.9554594,6.4100396e-09
0.95559454,5.8869003e-09
0.9557297,8.782802e-09
0.95586485,1.2652552e-08
0.956,1.4166597e-08
0.9561351,1.1992299e-08
0.9562702,8.223209e-09
0.9564054,6.416729e-09
0.9565405,8.406051e-09
0.95667565,1.26099104e-08
0.9568108,1.5495088e-08
0.9569459,1.4549012e-08
0.9570811,1.0738176e-08
0.9572162,7.614485e-09
0.9573513,8.192668e-09
0.95748645,1.2213964e-08
0.9576216,1.6374349e-08
0.95775676,1.709044e-08
0.95789194,1.38913485e-08
0.958027,9.7261506e-09
0.9581621,8.5469365e-09
0.9582973,1.16665575e-08
0.95843244,1.6648144e-08
0.9585676,1.930878e-08
0.9587027,1.7446396e-08
0.9588378,1.2872434e-08
0.958973,9.8378266e-09
0.9591081,1.1285363e-08
0.9592432,1.6368809e-08
0.95937836,2.0920321e-08
0.9595135,2.1161938e-08
0.95964867,1.711354e-08
0.9597838,1.2471236e-08
0.95991886,1.16606245e-08
0.96005404,1.5771711e-08
0.9601892,2.165854e-08
0.96032435,2.4500995e-08
0.9604595,2.20818e-08
0.9605946,1.6728368e-08
0.9607297,1.340499e-08
0.9608649,1.5471683e-08
0.961,2.161556e-08
0.9611351,2.7015787e-08
0.9612703,2.7315208e-08
0.9614054,2.2574733e-08
0.9615406,1.7123666e-08
0.9616757,1.6252686e-08
0.9618108,2.120423e-08
0.96194595,2.8337533e-08
0.9620811,3.209559e-08
0.96221626,2.9554988e-08
0.9623514,2.331138e-08
0.9624865,1.9155094e-08
0.9626216,2.1287375e-08
0.96275675,2.8689092e-08
0.96289194,3.5674326e-08
0.963027,3.698816e-08
0.9631622,3.1879296e-08
0.9632973,2.5233415e-08
0.96343243,2.333077e-08
0.9635676,2.8713783e-08
0.9637027,3.769697e-08
0.96383786,4.3587317e-08
0.963973,4.2049503e-08
0.9641081,3.495275e-08
0.9642433,2.905236e-08
0.96437836,3.0263305e-08
0.96451354,3.879698e-08
0.96464866,4.854818e-08
0.9647838,5.2483074e-08
0.9649189,4.8040338e-08
0.96505404,3.97604e-08
0.9651892,3.566585e-08
0.96532434,4.0550287e-08
0.96545947,5.181658e-08
0.9655946,6.160023e-08
0.9657297,6.30122e-08
0.9658649,5.5872004e-08
0.966,4.747889e-08
0.96613514,4.608405e-08
0.96627027,5.4969203e-08
0.9664054,6.872168e-08
0.9665406,7.783087e-08
0.96667576,7.656585e-08
0.9668108,6.7337815e-08
0.96694595,5.95682e-08
0.96708107,6.179944e-08
0.96721625,7.509244e-08
0.96735144,9.096065e-08
0.9674865,9.921375e-08
0.9676216,9.526137e-08
0.96775675,8.451874e-08
0.96789193,7.83652e-08
0.9680271,8.5147946e-08
0.9681622,1.02915905e-07
0.96829736,1.211894e-07
0.9684324,1.2858688e-07
0.9685676,1.2219054e-07
0.9687027,1.10561224e-07
0.96883786,1.07014756e-07
0.96897304,1.1913592e-07
0.9691081,1.4250658e-07
0.9692432,1.6373582e-07
0.96937835,1.7074788e-07
0.9695135,1.625452e-07
0.9696486,1.5074654e-07
0.9697838,1.5063387e-07
0.9699189,1.6942842e-07
0.97005403,1.9977924e-07
0.97018915,2.2546423e-07
0.9703243,2.3321965e-07
0.97045946,2.2414393e-07
0.97059464,2.1298219e-07
0.9707297,2.1753998e-07
0.97086483,2.4446604e-07
0.97099996,2.844893e-07
0.97113514,3.1693628e-07
0.9712702,3.2781102e-07
0.9714054,3.1924506e-07
0.9715405,3.096928e-07
0.97167563,3.2001623e-07
0.9718108,3.5772914e-07
0.9719459,4.1024404e-07
0.97208107,4.5427868e-07
0.97221625,4.7217375e-07
0.9723513,4.6669936e-07
0.9724865,4.5996643e-07
0.97262156,4.7758914e-07
0.97275674,5.286997e-07
0.9728919,5.99508e-07
0.97302705,6.61253e-07
0.9731621,6.919597e-07
0.97329724,6.9346225e-07
0.9734324,6.912372e-07
0.9735676,7.164581e-07
0.9737027,7.8392003e-07
0.97383785,8.7824975e-07
0.9739729,9.663536e-07
0.9741081,1.0194426e-06
0.9742433,1.034443e-06
0.9743784,1.0388113e-06
0.97451353,1.0715353e-06
0.9746486,1.1544878e-06
0.9747838,1.2780015e-06
0.97491896,1.4018755e-06
0.975054,1.4880716e-06
0.9751892,1.5257402e-06
0.97532433,1.5394414e-06
0.97545946,1.5759824e-06
0.97559464,1.6693598e-06
0.9757297,1.8178772e-06
0.9758649,1.9829001e-06
0.97599995,2.114383e-06
0.97613513,2.1855583e-06
0.9762702,2.2119523e-06
0.9764053,2.244076e-06
0.97654045,2.3312796e-06
0.9766756,2.4882474e-06
0.9768108,2.6854968e-06
0.97694594,2.8635998e-06
0.977081,2.9778628e-06
0.9772161,3.0205058e-06
0.9773513,3.037048e-06
0.9774865,3.0897024e-06
0.97762156,3.2178145e-06
0.97775674,3.4113457e-06
0.9778918,3.6152721e-06
0.978027,3.764644e-06
0.97816217,3.824735e-06
0.97829723,3.816948e-06
0.9784324,3.8030628e-06
0.97856754,3.845982e-06
0.97870266,3.968716e-06
0.97883785,4.139378e-06
0.9789729,4.290604e-06
0.9791081,4.3587634e-06
0.9792432,4.3291957e-06
0.97937834,4.2381575e-06
0.9795134,4.1523213e-06
0.9796486,4.12997e-06
0.9797838,4.1819144e-06
0.9799189,4.2669963e-06
0.980054,4.3185196e-06
0.9801891,4.2821493e-06
0.98032427,4.150338e-06
0.98045945,3.9617375e-06
0.9805946,3.7857424e-06
0.9807297,3.6686997e-06
0.9808648,3.622502e-06
0.98099995,3.6132935e-06
0.98113513,3.5849366e-06
0.98127025,3.49117e-06
0.9814054,3.3241483e-06
0.9815405,3.112718e-06
0.9816756,2.9039095e-06
0.9818108,2.749281e-06
0.98194593,2.6658092e-06
0.98208106,2.6426917e-06
0.9822162,2.6439461e-06
0.9823513,2.6302919e-06
0.9824865,2.5770755e-06
0.9826216,2.4877322e-06
0.98275673,2.386036e-06
0.98289186,2.3087885e-06
0.983027,2.2905347e-06
0.98316216,2.34516e-06
0.9832972,2.4655305e-06
0.9834324,2.620521e-06
0.98356754,2.7708656e-06
0.98370266,2.8827574e-06
0.98383784,2.9462788e-06
0.9839729,2.9742225e-06
0.9841081,3.0019703e-06
0.9842432,3.068295e-06
0.98437834,3.1967068e-06
0.9845135,3.3783408e-06
0.9846486,3.5781288e-06
0.98478377,3.746234e-06
0.9849189,3.835504e-06
0.985054,3.833458e-06
0.9851892,3.7578886e-06
0.98532426,3.6520412e-06
0.98545945,3.5630508e-06
0.98559463,3.5208739e-06
0.9857297,3.5242067e-06
0.9858648,3.5421006e-06
0.98599994,3.532817e-06
0.9861351,3.4626455e-06
0.9862703,3.3200868e-06
0.98640543,3.1236607e-06
0.9865405,2.9135026e-06
0.9866756,2.7304359e-06
0.9868108,2.6070784e-06
0.986946,2.5556903e-06
0.9870811,2.5702248e-06
0.9872162,2.6286937e-06
0.9873513,2.7040126e-06
0.9874865,2.7696797e-06
0.98762167,2.8111451e-06
0.9877567,2.8283623e-06
0.9878919,2.8351042e-06
0.988027,2.8566412e-06
0.98816216,2.9170035e-06
0.98829734,3.034991e-06
0.9884324,3.2050277e-06
0.9885676,3.4048307e-06
0.9887027,3.589132e-06
0.98883784,3.7168838e-06
0.988973,3.7605068e-06
0.9891081,3.7117006e-06
0.98924327,3.5889582e-06
0.9893784,3.4328532e-06
0.9895135,3.2852956e-06
0.9896486,3.1726674e-06
0.98978376,3.1031457e-06
0.98991895,3.068815e-06
0.9900541,3.04756e-06
0.9901892,3.0165654e-06
0.9903243,2.9618143e-06
0.99045944,2.8827194e-06
0.9905946,2.7900405e-06
0.99072975,2.7006577e-06
0.9908649,2.6399132e-06
0.991,2.6284974e-06
0.9911351,2.6804255e-06
0.9912703,2.8027434e-06
0.9914054,2.9800915e-06
0.99154055,3.1917652e-06
0.9916757,3.4007205e-06
0.9918108,3.5648393e-06
0.991946,3.6552233e-06
0.9920811,3.6579515e-06
0.9922162,3.579423e-06
0.99235135,3.4489624e-06
0.9924865,3.2996447e-06
0.99262166,3.1634268e-06
0.9927568,3.0630017e-06
0.9928919,2.999871e-06
